Date,Close,High,Low,Open,Volume
01/01/2020,1203.409912,1211.632064,1197.02521,1201.986043,3123998
02/01/2020,1235.885254,1238.365615,1204.374867,1205.293536,4335359
03/01/2020,1226.468872,1235.563604,1221.967372,1235.563604,2059871
06/01/2020,1209.657349,1223.66705,1207.222853,1222.748381,2646905
07/01/2020,1213.102051,1230.556757,1206.901037,1219.992066,2077893
08/01/2020,1186.506592,1202.26167,1178.973441,1196.106635,4147568
09/01/2020,1209.105957,1212.550965,1198.954622,1204.37479,2067779
10/01/2020,1216.868774,1227.295644,1211.724251,1211.724251,2360798
13/01/2020,1226.147217,1230.465027,1220.635204,1220.910849,1825244
14/01/2020,1218.246582,1222.748081,1208.141226,1221.645724,2046500
15/01/2020,1215.950073,1227.479412,1212.642888,1217.787411,2127677
16/01/2020,1211.999756,1224.493629,1210.254263,1219.716484,1773135
17/01/2020,1198.127808,1218.108854,1196.106781,1213.193998,2941837
20/01/2020,1203.088623,1212.550956,1200.240772,1207.08481,2542477
21/01/2020,1196.428223,1207.038892,1194.68273,1198.63305,1361576
22/01/2020,1188.94104,1205.293388,1186.920014,1204.37472,2449753
23/01/2020,1223.942505,1230.878387,1199.78147,1200.700139,10056067
24/01/2020,1248.654541,1256.601048,1223.666795,1223.666795,5837319
27/01/2020,1238.916748,1253.891095,1231.016219,1231.016219,2510013
28/01/2020,1237.125366,1244.796228,1229.178859,1241.029709,2352852
29/01/2020,1254.625854,1263.12354,1242.131982,1243.050651,3678474
30/01/2020,1258.760132,1264.823437,1242.959071,1254.855789,2743506
31/01/2020,1257.933228,1265.006932,1249.802919,1264.042285,3939306
03/02/2020,1182.005249,1197.852286,1168.546729,1185.082767,5767353
04/02/2020,1186.69043,1200.975774,1182.832066,1190.594772,3604309
05/02/2020,1203.502075,1217.236129,1189.676065,1192.340227,4220104
06/02/2020,1210.437988,1217.23616,1202.583437,1215.306978,2354458
07/02/2020,1193.35083,1207.498353,1190.594824,1206.258172,3053804
10/02/2020,1180.765015,1196.520094,1169.557188,1194.269401,3039992
11/02/2020,1182.234863,1193.304755,1179.570701,1186.920052,2200796
12/02/2020,1191.789063,1194.131601,1175.896048,1184.255911,2568696
13/02/2020,1187.14978,1194.131641,1180.489431,1193.350795,1545536
14/02/2020,1189.813965,1198.816852,1185.633977,1189.676142,1780119
17/02/2020,1176.07959,1192.294114,1173.139895,1191.513268,2155085
18/02/2020,1181.72937,1184.898844,1163.447842,1177.27385,2347917
19/02/2020,1177.182129,1193.350676,1172.772474,1192.432007,1820353
20/02/2020,1176.447266,1184.072262,1171.578388,1175.804242,3034681
24/02/2020,1157.247192,1168.45502,1150.770644,1168.45502,3414064
25/02/2020,1141.032593,1162.713153,1139.2871,1159.543679,3133077
26/02/2020,1112.645874,1137.312112,1107.914707,1134.556105,5721483
27/02/2020,1111.910767,1117.973958,1102.402567,1113.748104,4003149
28/02/2020,1090.96521,1099.141273,1067.493177,1092.894392,6286647
02/03/2020,1066.482666,1113.748132,1056.974466,1106.995939,3177486
03/03/2020,1085.223511,1090.276189,1067.539136,1071.167833,3134527
04/03/2020,1080.951538,1091.240583,1063.818345,1088.622399,3135151
05/03/2020,1086.279785,1090.68944,1071.351418,1084.120936,2625152
06/03/2020,1064.645264,1069.330452,1038.87656,1054.631752,3956575
09/03/2020,1012.327209,1043.424243,980.4954199,1043.424243,8038295
11/03/2020,1026.107056,1029.781731,997.4906127,1001.348977,5628125
12/03/2020,933.8728027,983.021642,922.4353644,982.9756637,9200130
